epoch | Learning Rate | Train Loss | Valid Loss | Train Acc | Valid Acc | Save | 
1 | 0.0010 | 0.6994 | 0.4703 | 80.1899 | 81.9573 | True | 
2 | 0.0010 | 0.4317 | 0.3777 | 85.1886 | 86.6262 | True | 
3 | 0.0010 | 0.3858 | 0.3881 | 86.8636 | 87.0483 | True | 
4 | 0.0010 | 0.3323 | 0.4130 | 88.7035 | 86.8900 | False | 
5 | 0.0010 | 0.2861 | 0.3632 | 90.1477 | 87.3912 | True | 
6 | 0.0010 | 0.2503 | 0.4334 | 91.4271 | 86.8372 | False | 
7 | 0.0010 | 0.2317 | 0.4063 | 92.4756 | 86.6262 | False | 
8 | 0.0010 | 0.2013 | 0.3462 | 93.3395 | 89.2377 | True | 
9 | 0.0010 | 0.1813 | 0.3757 | 94.0385 | 88.8948 | False | 
10 | 0.0010 | 0.1751 | 0.3758 | 94.3946 | 89.3432 | True | 
11 | 0.0010 | 0.1605 | 0.3739 | 95.0079 | 89.1849 | False | 
12 | 0.0010 | 0.1443 | 0.4270 | 95.4300 | 89.1322 | False | 
13 | 0.0010 | 0.1450 | 0.3899 | 95.5685 | 89.3168 | False | 
14 | 0.0010 | 0.1152 | 0.4700 | 96.1422 | 88.9739 | False | 
15 | 0.0010 | 0.1304 | 0.4897 | 96.1158 | 88.9739 | False | 
16 | 0.0010 | 0.1219 | 0.3900 | 96.2609 | 89.5542 | True | 
17 | 0.0010 | 0.1078 | 0.4719 | 96.7753 | 89.1849 | False | 
18 | 0.0010 | 0.1068 | 0.5622 | 96.8808 | 88.7892 | False | 
19 | 0.0010 | 0.1064 | 0.5441 | 96.7884 | 89.1585 | False | 
20 | 0.0010 | 0.1112 | 0.5012 | 96.8478 | 89.7125 | True | 
21 | 0.0010 | 0.0981 | 0.4355 | 97.1314 | 89.9235 | True | 
22 | 0.0010 | 0.0908 | 0.4727 | 97.3292 | 89.6070 | False | 
23 | 0.0010 | 0.0856 | 0.5639 | 97.5336 | 89.3432 | False | 
24 | 0.0010 | 0.0818 | 0.5361 | 97.5468 | 89.7652 | False | 
25 | 0.0010 | 0.0895 | 0.5839 | 97.5468 | 89.2377 | False | 
26 | 0.0010 | 0.0912 | 0.5615 | 97.6655 | 89.4223 | False | 
27 | 0.0010 | 0.0974 | 0.4828 | 97.4743 | 89.7916 | False | 
28 | 0.0010 | 0.0877 | 0.4665 | 97.6523 | 89.6333 | False | 
29 | 0.0010 | 0.0822 | 0.4879 | 97.6326 | 89.2113 | False | 
30 | 0.0010 | 0.0728 | 0.4596 | 97.8700 | 89.6597 | False | 
31 | 0.0010 | 0.0722 | 0.5217 | 98.0810 | 89.7125 | False | 
32 | 0.0010 | 0.0721 | 0.4620 | 98.1074 | 89.4223 | False | 
33 | 0.0010 | 0.0750 | 0.4613 | 98.0150 | 89.8971 | False | 
34 | 0.0010 | 0.0849 | 0.6480 | 97.8304 | 89.6070 | False | 
35 | 0.0010 | 0.1057 | 0.5316 | 97.6655 | 89.5542 | False | 
36 | 0.0010 | 0.0720 | 0.6324 | 98.1271 | 89.2113 | False | 
37 | 0.0010 | 0.0746 | 0.5528 | 98.2722 | 89.7916 | False | 
38 | 0.0010 | 0.0715 | 0.5324 | 98.0810 | 89.6333 | False | 
39 | 0.0010 | 0.0694 | 0.5038 | 98.3118 | 89.9235 | True | 
40 | 0.0010 | 0.0642 | 0.5877 | 98.4041 | 89.6070 | False | 
41 | 0.0010 | 0.0736 | 0.5184 | 98.2327 | 89.7389 | False | 
42 | 0.0010 | 0.0708 | 0.5205 | 98.2458 | 90.0026 | True | 
43 | 0.0010 | 0.0686 | 0.5738 | 98.2524 | 90.1082 | True | 
44 | 0.0010 | 0.0642 | 0.6028 | 98.4239 | 89.5015 | False | 
45 | 0.0010 | 0.0690 | 0.5790 | 98.3645 | 89.3696 | False | 
46 | 0.0010 | 0.0728 | 0.5556 | 98.3316 | 89.8971 | False | 
47 | 0.0010 | 0.0713 | 0.5689 | 98.2788 | 89.3959 | False | 
48 | 0.0010 | 0.0613 | 0.7905 | 98.4041 | 89.3432 | False | 
49 | 0.0010 | 0.0588 | 0.5685 | 98.5558 | 89.8707 | False | 
50 | 0.0010 | 0.0494 | 0.8784 | 98.6481 | 89.6861 | False | 
