epoch | Learning Rate | Train Loss | Valid Loss | Train Acc | Valid Acc | Save | 
1 | 0.0010 | 1.0491 | 0.9502 | 62.9715 | 67.8977 | True | 
2 | 0.0010 | 0.9532 | 0.9152 | 65.7412 | 67.3965 | False | 
3 | 0.0010 | 0.9407 | 0.9150 | 66.5853 | 67.0535 | False | 
4 | 0.0010 | 0.9308 | 0.9649 | 67.0535 | 65.4181 | False | 
5 | 0.0010 | 0.9016 | 0.9147 | 67.7592 | 67.1063 | False | 
6 | 0.0010 | 0.9072 | 0.9061 | 67.7658 | 68.2669 | True | 
7 | 0.0010 | 0.8958 | 0.9037 | 68.2142 | 67.6602 | False | 
8 | 0.0010 | 0.8990 | 0.8900 | 67.7130 | 68.2933 | True | 
9 | 0.0010 | 0.9045 | 0.9865 | 67.8911 | 64.3630 | False | 
10 | 0.0010 | 0.9042 | 0.9059 | 67.6141 | 67.3701 | False | 
11 | 0.0010 | 0.8930 | 0.8849 | 68.1812 | 67.5811 | False | 
12 | 0.0010 | 0.8954 | 0.8750 | 68.1153 | 68.1351 | False | 
13 | 0.0010 | 0.8637 | 0.8675 | 69.1506 | 68.8209 | True | 
14 | 0.0010 | 0.8693 | 0.8713 | 68.7154 | 68.4780 | False | 
15 | 0.0010 | 0.8647 | 0.8692 | 69.0253 | 68.8473 | True | 
16 | 0.0010 | 0.8568 | 0.8746 | 69.3419 | 67.8449 | False | 
17 | 0.0010 | 0.8427 | 0.8706 | 69.6782 | 68.9528 | True | 
18 | 0.0010 | 0.8886 | 0.8853 | 67.7987 | 69.1638 | True | 
19 | 0.0010 | 0.8541 | 0.8644 | 69.4540 | 69.1638 | False | 
20 | 0.0010 | 0.8325 | 0.8880 | 70.0541 | 68.1878 | False | 
21 | 0.0010 | 0.8255 | 0.8765 | 70.3640 | 67.6075 | False | 
22 | 0.0010 | 0.8540 | 0.8804 | 69.3221 | 67.1327 | False | 
23 | 0.0010 | 0.8215 | 0.8632 | 70.6542 | 69.0583 | False | 
24 | 0.0010 | 0.8204 | 0.8504 | 70.7465 | 69.2429 | True | 
25 | 0.0010 | 0.8034 | 0.8442 | 71.0169 | 69.2693 | True | 
26 | 0.0010 | 0.8036 | 0.8783 | 70.9509 | 68.7418 | False | 
27 | 0.0010 | 0.8018 | 0.8538 | 70.9971 | 70.0079 | True | 
28 | 0.0010 | 0.8010 | 0.8452 | 71.2609 | 69.9552 | False | 
29 | 0.0010 | 0.7854 | 0.8738 | 71.5313 | 69.0583 | False | 
30 | 0.0010 | 0.7850 | 0.8386 | 71.7884 | 69.8496 | False | 
31 | 0.0010 | 0.7691 | 0.8877 | 72.3358 | 68.1878 | False | 
32 | 0.0010 | 0.7630 | 0.8381 | 72.1709 | 70.0079 | False | 
33 | 0.0010 | 0.7745 | 0.8702 | 72.4677 | 69.5067 | False | 
34 | 0.0010 | 0.7331 | 0.8405 | 73.3382 | 69.9552 | False | 
35 | 0.0010 | 0.7190 | 0.8635 | 73.7009 | 69.4540 | False | 
36 | 0.0010 | 0.7485 | 0.8624 | 72.6721 | 69.7705 | False | 
37 | 0.0010 | 0.7013 | 0.8641 | 74.6505 | 68.5571 | False | 
38 | 0.0010 | 0.7020 | 0.8753 | 74.3537 | 69.9552 | False | 
39 | 0.0010 | 0.6990 | 0.8727 | 74.4395 | 69.3221 | False | 
40 | 0.0010 | 0.7085 | 0.8545 | 74.7956 | 70.1926 | True | 
41 | 0.0010 | 0.6683 | 0.9024 | 75.3891 | 69.7178 | False | 
42 | 0.0010 | 0.6349 | 0.8855 | 77.0377 | 69.5331 | False | 
43 | 0.0010 | 0.6315 | 0.8565 | 77.3674 | 70.2189 | True | 
44 | 0.0010 | 0.6861 | 0.8615 | 74.9209 | 70.1398 | False | 
45 | 0.0010 | 0.6033 | 0.9794 | 77.9544 | 70.3772 | True | 
46 | 0.0010 | 0.7580 | 0.9379 | 72.0324 | 65.4181 | False | 
47 | 0.0010 | 0.6466 | 0.9539 | 76.0090 | 69.3485 | False | 
48 | 0.0010 | 0.5843 | 0.8801 | 79.1084 | 69.9815 | False | 
49 | 0.0010 | 0.5562 | 0.9579 | 79.5832 | 70.6146 | True | 
50 | 0.0010 | 0.5218 | 0.9501 | 81.0538 | 70.1134 | False | 
