epoch | Learning Rate | Train Loss | Valid Loss | Train Acc | Valid Acc | Save | 
1 | 0.0010 | 0.3804 | 0.2459 | 86.9164 | 91.4007 | True | 
2 | 0.0010 | 0.2557 | 0.2475 | 90.9391 | 91.7964 | True | 
3 | 0.0010 | 0.2311 | 0.2125 | 91.6645 | 92.8779 | True | 
4 | 0.0010 | 0.2150 | 0.2166 | 92.2382 | 92.6141 | False | 
5 | 0.0010 | 0.2088 | 0.2180 | 92.6734 | 92.5350 | False | 
6 | 0.0010 | 0.2064 | 0.2083 | 92.6537 | 93.0889 | True | 
7 | 0.0010 | 0.1968 | 0.2148 | 92.7790 | 92.7987 | False | 
8 | 0.0010 | 0.1987 | 0.2132 | 92.9108 | 92.8515 | False | 
9 | 0.0010 | 0.1879 | 0.2182 | 93.2274 | 92.9306 | False | 
10 | 0.0010 | 0.1893 | 0.2803 | 92.8317 | 89.7652 | False | 
11 | 0.0010 | 0.1882 | 0.2193 | 93.1153 | 92.7987 | False | 
12 | 0.0010 | 0.1847 | 0.2140 | 93.2867 | 92.9042 | False | 
13 | 0.0010 | 0.1783 | 0.2356 | 93.3527 | 92.2712 | False | 
14 | 0.0010 | 0.1820 | 0.2297 | 93.2933 | 92.5877 | False | 
15 | 0.0010 | 0.1846 | 0.2257 | 93.3725 | 92.7987 | False | 
16 | 0.0010 | 0.1791 | 0.2317 | 93.5769 | 92.7724 | False | 
17 | 0.0010 | 0.1691 | 0.2322 | 93.7813 | 92.6141 | False | 
18 | 0.0010 | 0.1815 | 0.2322 | 93.3329 | 92.7196 | False | 
19 | 0.0010 | 0.1814 | 0.2313 | 93.3131 | 92.5086 | False | 
20 | 0.0010 | 0.1724 | 0.2241 | 93.6560 | 92.7196 | False | 
21 | 0.0010 | 0.1734 | 0.2452 | 93.7154 | 92.0338 | False | 
22 | 0.0010 | 0.1747 | 0.2395 | 93.5571 | 92.6405 | False | 
23 | 0.0010 | 0.1744 | 0.2288 | 93.6428 | 92.5086 | False | 
24 | 0.0010 | 0.1761 | 0.2323 | 93.5307 | 92.6405 | False | 
25 | 0.0010 | 0.1737 | 0.2337 | 93.8473 | 92.4294 | False | 
26 | 0.0010 | 0.1727 | 0.2406 | 93.7813 | 92.3239 | False | 
27 | 0.0010 | 0.1660 | 0.2587 | 94.0319 | 91.9810 | False | 
28 | 0.0010 | 0.1683 | 0.2378 | 93.7484 | 92.5877 | False | 
29 | 0.0010 | 0.1700 | 0.2380 | 94.0385 | 92.4822 | False | 
30 | 0.0010 | 0.1757 | 0.2331 | 93.5901 | 92.7724 | False | 
31 | 0.0010 | 0.1646 | 0.2469 | 93.9660 | 92.5877 | False | 
32 | 0.0010 | 0.1659 | 0.2439 | 93.8077 | 92.7460 | False | 
33 | 0.0010 | 0.1648 | 0.2403 | 93.7813 | 92.3503 | False | 
34 | 0.0010 | 0.1697 | 0.2740 | 93.8011 | 91.5062 | False | 
35 | 0.0010 | 0.1704 | 0.2598 | 93.8011 | 91.5326 | False | 
36 | 0.0010 | 0.1644 | 0.2488 | 93.8077 | 92.2448 | False | 
37 | 0.0010 | 0.1700 | 0.2578 | 93.7352 | 91.9283 | False | 
38 | 0.0010 | 0.1767 | 0.2483 | 93.5571 | 92.7724 | False | 
39 | 0.0010 | 0.1738 | 0.2486 | 93.5835 | 92.5086 | False | 
40 | 0.0010 | 0.1631 | 0.2599 | 93.8934 | 92.1393 | False | 
41 | 0.0010 | 0.1617 | 0.2607 | 94.0319 | 92.0601 | False | 
42 | 0.0010 | 0.1714 | 0.2476 | 93.6626 | 92.5613 | False | 
43 | 0.0010 | 0.1717 | 0.2514 | 93.4648 | 92.3503 | False | 
44 | 0.0010 | 0.1696 | 0.2578 | 93.6296 | 91.9283 | False | 
45 | 0.0010 | 0.1660 | 0.2475 | 93.8143 | 92.5613 | False | 
46 | 0.0010 | 0.1682 | 0.2418 | 93.7747 | 92.3503 | False | 
47 | 0.0010 | 0.1607 | 0.2580 | 93.9792 | 91.9019 | False | 
48 | 0.0010 | 0.1677 | 0.2490 | 93.7022 | 92.3767 | False | 
49 | 0.0010 | 0.1599 | 0.2445 | 94.0385 | 92.5613 | False | 
50 | 0.0010 | 0.1611 | 0.2461 | 93.9132 | 92.3767 | False | 
