epoch | Learning Rate | Train Loss | Valid Loss | Train Acc | Valid Acc | Save | 
1 | 0.0010 | 0.7015 | 0.4515 | 74.4395 | 83.8037 | True | 
2 | 0.0010 | 0.6681 | 0.4359 | 75.9892 | 84.7270 | True | 
3 | 0.0010 | 0.7048 | 0.4862 | 75.5473 | 82.7486 | False | 
4 | 0.0010 | 0.6977 | 0.4302 | 75.5078 | 84.8325 | True | 
5 | 0.0010 | 0.6859 | 0.5052 | 76.1211 | 82.9860 | False | 
6 | 0.0010 | 0.7061 | 0.4668 | 75.2044 | 83.8565 | False | 
7 | 0.0010 | 0.6917 | 0.4092 | 75.8771 | 85.7030 | True | 
8 | 0.0010 | 0.7080 | 0.4334 | 75.4418 | 85.2546 | False | 
9 | 0.0010 | 0.6744 | 0.4321 | 76.9322 | 84.8061 | False | 
10 | 0.0010 | 0.6914 | 0.4864 | 76.1540 | 82.9333 | False | 
11 | 0.0010 | 0.7117 | 0.4308 | 75.5408 | 85.3073 | False | 
12 | 0.0010 | 0.6979 | 0.4722 | 75.7782 | 83.1707 | False | 
13 | 0.0010 | 0.6926 | 0.4396 | 75.9496 | 85.0171 | False | 
14 | 0.0010 | 0.6994 | 0.4131 | 76.0881 | 85.2282 | False | 
15 | 0.0010 | 0.7017 | 0.4674 | 75.9430 | 83.8829 | False | 
16 | 0.0010 | 0.6995 | 0.4706 | 76.1409 | 83.1443 | False | 
17 | 0.0010 | 0.6961 | 0.4488 | 75.8837 | 84.5951 | False | 
18 | 0.0010 | 0.7010 | 0.4647 | 75.5869 | 84.2258 | False | 
19 | 0.0010 | 0.6868 | 0.4422 | 76.1936 | 84.1994 | False | 
20 | 0.0010 | 0.6896 | 0.4502 | 76.4046 | 84.0412 | False | 
21 | 0.0010 | 0.7022 | 0.4551 | 75.6331 | 83.9884 | False | 
22 | 0.0010 | 0.7016 | 0.4281 | 75.7452 | 84.9644 | False | 
23 | 0.0010 | 0.6937 | 0.4075 | 76.3321 | 86.7054 | True | 
24 | 0.0010 | 0.6933 | 0.4446 | 76.3849 | 84.6742 | False | 
25 | 0.0010 | 0.7147 | 0.4340 | 75.3561 | 84.8589 | False | 
26 | 0.0010 | 0.6920 | 0.4390 | 76.3915 | 84.3577 | False | 
27 | 0.0010 | 0.7029 | 0.4547 | 75.5935 | 84.0939 | False | 
28 | 0.0010 | 0.6943 | 0.4225 | 76.2068 | 85.4392 | False | 
29 | 0.0010 | 0.7125 | 0.4568 | 75.0791 | 84.1730 | False | 
30 | 0.0010 | 0.6985 | 0.4650 | 75.7056 | 83.4608 | False | 
31 | 0.0010 | 0.6932 | 0.4291 | 75.9430 | 84.6215 | False | 
32 | 0.0010 | 0.6850 | 0.4620 | 75.9826 | 83.9356 | False | 
33 | 0.0010 | 0.7095 | 0.4195 | 75.6067 | 85.2546 | False | 
34 | 0.0010 | 0.7073 | 0.4362 | 75.1715 | 84.1467 | False | 
35 | 0.0010 | 0.6832 | 0.4559 | 76.3321 | 83.9620 | False | 
36 | 0.0010 | 0.7089 | 0.4217 | 75.6661 | 85.5711 | False | 
37 | 0.0010 | 0.6874 | 0.4116 | 75.9035 | 85.9140 | False | 
38 | 0.0010 | 0.6910 | 0.4465 | 75.8111 | 84.3577 | False | 
39 | 0.0010 | 0.7011 | 0.4158 | 75.3099 | 85.4392 | False | 
40 | 0.0010 | 0.6822 | 0.4231 | 76.2530 | 84.8589 | False | 
41 | 0.0010 | 0.6980 | 0.4445 | 75.4352 | 84.8325 | False | 
42 | 0.0010 | 0.6910 | 0.4209 | 76.1079 | 85.1227 | False | 
43 | 0.0010 | 0.6962 | 0.4360 | 75.9826 | 84.9116 | False | 
44 | 0.0010 | 0.7111 | 0.4638 | 75.5671 | 83.7246 | False | 
45 | 0.0010 | 0.6899 | 0.4556 | 75.7254 | 84.1467 | False | 
46 | 0.0010 | 0.6967 | 0.4439 | 76.2464 | 84.5423 | False | 
47 | 0.0010 | 0.6937 | 0.4558 | 76.1145 | 83.7510 | False | 
48 | 0.0010 | 0.6984 | 0.4390 | 75.5803 | 84.4104 | False | 
49 | 0.0010 | 0.6938 | 0.4335 | 76.3651 | 84.6742 | False | 
50 | 0.0010 | 0.6971 | 0.4396 | 75.9892 | 84.7270 | False | 
