epoch | Learning Rate | Train Loss | Valid Loss | Train Acc | Valid Acc | Save | 
1 | 0.0010 | 1.0749 | 0.9718 | 60.5381 | 66.4996 | True | 
2 | 0.0010 | 1.0070 | 1.0571 | 63.1298 | 67.8977 | True | 
3 | 0.0010 | 0.9926 | 0.9200 | 64.1981 | 67.6602 | False | 
4 | 0.0010 | 0.9573 | 0.9094 | 66.1633 | 67.9240 | True | 
5 | 0.0010 | 0.9623 | 0.8802 | 65.8797 | 68.2669 | True | 
6 | 0.0010 | 0.9431 | 0.9268 | 66.2226 | 67.7921 | False | 
7 | 0.0010 | 0.9236 | 0.8678 | 66.5458 | 69.4803 | True | 
8 | 0.0010 | 0.9242 | 1.5951 | 66.8755 | 65.8138 | False | 
9 | 0.0010 | 0.9250 | 0.9292 | 66.5128 | 67.2118 | False | 
10 | 0.0010 | 0.9040 | 0.8841 | 67.3437 | 68.2669 | False | 
11 | 0.0010 | 0.9146 | 0.9328 | 67.2910 | 66.3677 | False | 
12 | 0.0010 | 0.8996 | 0.9109 | 67.7855 | 66.8161 | False | 
13 | 0.0010 | 0.9035 | 1.0836 | 67.2118 | 68.9264 | False | 
14 | 0.0010 | 0.8931 | 1.1066 | 67.9108 | 67.5547 | False | 
15 | 0.0010 | 0.8822 | 0.8979 | 68.1482 | 69.8760 | True | 
16 | 0.0010 | 0.8814 | 0.8686 | 68.1219 | 69.4276 | False | 
17 | 0.0010 | 0.8909 | 0.8938 | 67.6405 | 69.7178 | False | 
18 | 0.0010 | 0.8505 | 0.8838 | 69.3682 | 69.8233 | False | 
19 | 0.0010 | 0.8391 | 0.8124 | 69.4144 | 70.6937 | True | 
20 | 0.0010 | 0.8285 | 0.8275 | 69.9881 | 71.2213 | True | 
21 | 0.0010 | 0.8156 | 0.9002 | 70.3574 | 71.2741 | True | 
22 | 0.0010 | 0.8019 | 0.8906 | 70.7135 | 69.1111 | False | 
23 | 0.0010 | 0.7789 | 0.7610 | 71.9467 | 72.8568 | True | 
24 | 0.0010 | 0.7894 | 0.8217 | 71.3136 | 70.0870 | False | 
25 | 0.0010 | 0.7636 | 0.9137 | 72.4809 | 70.4827 | False | 
26 | 0.0010 | 0.7795 | 0.8628 | 71.9731 | 70.5091 | False | 
27 | 0.0010 | 0.7499 | 1.6198 | 72.8172 | 71.3004 | False | 
28 | 0.0010 | 0.7247 | 0.8319 | 73.5228 | 72.1973 | False | 
29 | 0.0010 | 0.7020 | 0.8531 | 74.2021 | 73.6217 | True | 
30 | 0.0010 | 0.6778 | 0.8124 | 75.1187 | 74.3076 | True | 
31 | 0.0010 | 0.6539 | 0.8156 | 76.2332 | 72.8304 | False | 
32 | 0.0010 | 0.6375 | 0.8345 | 76.1409 | 73.1733 | False | 
33 | 0.0010 | 0.5999 | 0.8069 | 77.6708 | 72.3820 | False | 
34 | 0.0010 | 0.5538 | 0.7978 | 79.7613 | 72.7513 | False | 
35 | 0.0010 | 0.5282 | 0.9435 | 80.3746 | 71.4323 | False | 
36 | 0.0010 | 0.4970 | 0.8540 | 81.5022 | 73.0678 | False | 
37 | 0.0010 | 0.4377 | 0.9443 | 83.7972 | 70.4036 | False | 
38 | 0.0010 | 0.3978 | 0.9926 | 85.1029 | 70.9839 | False | 
39 | 0.0010 | 0.3497 | 1.1803 | 87.2329 | 69.0055 | False | 
40 | 0.0010 | 0.3234 | 1.3665 | 88.0243 | 69.3748 | False | 
41 | 0.0010 | 0.2803 | 1.7360 | 89.9960 | 65.2071 | False | 
42 | 0.0010 | 0.2533 | 1.2048 | 90.7940 | 70.0607 | False | 
43 | 0.0010 | 0.2334 | 1.1814 | 91.6843 | 68.9792 | False | 
44 | 0.0010 | 0.2194 | 1.3127 | 91.9217 | 71.1158 | False | 
45 | 0.0010 | 0.1895 | 1.7224 | 93.0032 | 69.1374 | False | 
46 | 0.0010 | 0.1859 | 1.5104 | 93.5241 | 70.2981 | False | 
47 | 0.0010 | 0.1704 | 1.8184 | 93.9264 | 70.0870 | False | 
48 | 0.0010 | 0.1548 | 1.4676 | 94.6518 | 68.2933 | False | 
49 | 0.0010 | 0.1512 | 1.3273 | 94.4672 | 69.7178 | False | 
50 | 0.0010 | 0.1324 | 1.6543 | 95.3772 | 69.9815 | False | 
